2, 41688.1601536, 251.23338, 512.722089417
21, 66701.0562457, 290.480604201, 512.722089417
13, 66701.0562457, 290.480604201, 462.943245784
18, 34988.4315935, 242.067170168, 462.943245784
25, 140072.218116, 365.034900264, 49.7788436327
3, 2227148.26804, 842.844562353, 49.7788436327
4, 2138062.33732, 1700.0, 50.9314966154
45, 617679.269045, 1289.81454319, 50.9314966154
5, 108697.286157, 878.778305071, 50.9314966154
7, 108697.286157, 878.778305071, 50.9314966154
8, 58342.5569603, 754.316141691, 50.9314966154
